"date","AK","AL","AZ","CA","CO","FL","GA","HI","IA","ID","IN","KS","KY","LA","MA","MD","ME","MI","MN","MO","MS","MT","NC","ND","NH","NJ","NM","NV","OH","OK","OR","PA","SC","TN","TX","UT","VA","WA","WI"
2020-06-30,0.494845360824742,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527472527472527,NA,NA,NA,NA,NA,NA,NA
2020-07-28,NA,0.382978723404255,0.511363636363636,NA,NA,NA,NA,0.658823529411765,0.488372093023256,NA,0.408602150537634,NA,0.376344086021505,NA,NA,NA,0.538461538461538,NA,NA,NA,NA,NA,0.511111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473118279569892,NA,0.505376344086022,NA,NA,NA,NA
2020-05-16,NA,0.428571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488888888888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-09,NA,NA,0.553191489361702,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549450549450549,NA,NA,NA,NA,NA,0.517241379310345,NA,NA,0.522727272727273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527472527472527
2020-09-10,NA,NA,0.513343799058085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549450549450549,NA,NA,NA,0.48936170212766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-02,NA,NA,0.510526315789474,NA,0.544082125603865,0.507054871220605,0.497369023106841,NA,0.489130434782609,NA,NA,NA,NA,NA,NA,NA,0.574468085106383,0.539638595201434,0.526881720430108,0.473118279569892,NA,0.462365591397849,0.502631578947368,NA,NA,NA,NA,NA,0.473684210526316,NA,NA,0.521052631578947,NA,NA,0.5,NA,0.576086956521739,NA,0.526315789473684
2020-09-05,NA,NA,0.521276595744681,NA,NA,0.515789473684211,NA,NA,NA,NA,0.36144578313253,NA,NA,NA,NA,NA,NA,0.532608695652174,0.550561797752809,NA,NA,NA,0.510416666666667,NA,NA,NA,NA,NA,NA,0.368421052631579,0.566666666666667,0.520833333333333,NA,NA,NA,NA,NA,NA,0.531914893617021
2020-08-27,NA,NA,0.527472527472527,NA,NA,0.516483516483517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56043956043956,NA,0.440860215053763,NA,NA,0.494252873563218,NA,NA,NA,NA,NA,NA,NA,NA,0.527472527472527,NA,NA,NA,NA,NA,NA,0.549450549450549
2020-08-30,NA,NA,0.550561797752809,0.589473684210526,0.561797752808989,0.520951114067177,0.460674157303371,NA,NA,0.361702127659574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.515735815602837,NA,NA,NA,NA,NA,NA,NA,NA,0.541666666666667,NA,NA,0.505154639175258,NA,NA,NA,0.543478260869565
2020-08-25,NA,NA,0.553191489361702,NA,0.554347826086957,0.510416666666667,0.515789473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553191489361702,0.537634408602151,NA,NA,NA,0.510416666666667,NA,NA,NA,NA,0.530120481927711,0.473684210526316,NA,NA,0.521276595744681,NA,NA,0.494736842105263,NA,NA,NA,0.547368421052632
2020-08-11,NA,NA,0.489130434782609,NA,0.554347826086957,0.526315789473684,0.494623655913978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531914893617021,0.543478260869565,NA,NA,NA,0.515789473684211,NA,NA,NA,NA,NA,0.478723404255319,NA,NA,0.531914893617021,NA,NA,0.494623655913978,NA,NA,NA,0.532608695652174
2020-08-22,NA,NA,0.510416666666667,NA,NA,0.515789473684211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.531914893617021,NA,NA,NA,NA,0.505263157894737,NA,NA,NA,NA,NA,NA,NA,NA,0.531578947368421,NA,NA,0.516129032258065,NA,NA,NA,0.526881720430108
2020-08-17,NA,NA,0.552941176470588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568181818181818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.556818181818182
2020-08-08,NA,NA,0.50561797752809,NA,NA,0.531914893617021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527472527472527,NA,NA,NA,NA,0.500177409816676,NA,NA,NA,NA,NA,NA,NA,NA,0.521739130434783,NA,NA,NA,NA,NA,NA,0.522222222222222
2020-08-06,NA,NA,0.483870967741935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526881720430108
2020-08-03,NA,NA,0.521276595744681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467391304347826,NA,NA,NA,NA
2020-07-21,NA,NA,0.543040293040293,NA,0.571428571428571,0.525316216571391,0.505376344086022,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.568181818181818,0.561479465611084,0.516483516483517,NA,NA,NA,0.502941176470588,NA,NA,NA,NA,NA,0.483870967741935,NA,NA,0.541402051783097,NA,NA,0.510869565217391,NA,0.559139784946237,NA,0.550067204301075
2020-07-25,NA,NA,0.510869565217391,NA,NA,0.516129032258065,0.494736842105263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.522727272727273,NA,NA,NA,NA,0.515789473684211,NA,NA,NA,NA,NA,NA,NA,NA,0.51063829787234,NA,NA,NA,NA,NA,NA,0.527472527472527
2020-07-06,NA,NA,0.526881720430108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-11,NA,NA,0.53125,NA,NA,0.537634408602151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,NA,NA,NA,NA,0.505376344086022,NA,NA,NA,NA,NA,NA,NA,NA,0.545423340961098,NA,NA,NA,NA,NA,NA,0.533333333333333
2020-07-08,NA,NA,0.5,NA,NA,0.533333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.494505494505495,NA,NA,NA,NA
2020-04-14,NA,NA,0.505376344086022,NA,NA,NA,NA,NA,0.483870967741935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51063829787234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526315789473684
2020-06-28,NA,NA,0.510869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-27,NA,NA,0.536842105263158,NA,NA,0.526315789473684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.527472527472527,NA,0.462365591397849,NA,NA,0.536842105263158,NA,NA,NA,NA,NA,NA,NA,NA,0.531914893617021,NA,NA,NA,NA,NA,NA,0.542553191489362
2020-06-15,NA,NA,0.524390243902439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.566265060240964,NA,NA,NA,NA,0.534883720930233,NA,NA,NA,NA,NA,NA,NA,NA,0.556818181818182,NA,NA,NA,NA,NA,NA,NA
2020-06-13,NA,NA,0.50561797752809,NA,NA,0.537634408602151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.510869565217391,NA,NA,NA,NA,0.510869565217391,NA,NA,NA,NA,NA,NA,NA,NA,0.515789473684211,NA,NA,NA,NA,NA,NA,0.521739130434783
2020-05-30,NA,NA,0.49438202247191,NA,NA,0.516129032258065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.51063829787234,NA,NA,NA,NA,0.505494505494505,NA,NA,NA,NA,NA,NA,NA,NA,0.479166666666667,NA,NA,NA,NA,NA,NA,0.5
2020-05-20,NA,NA,0.510869565217391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-12,NA,NA,0.523255813953488,NA,NA,0.511363636363636,0.48936170212766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.546511627906977,NA,NA,NA,NA,0.511363636363636,NA,NA,NA,NA,NA,NA,NA,NA,0.551724137931034,NA,NA,NA,0.482352941176471,NA,NA,0.558139534883721
2020-05-10,NA,NA,0.537634408602151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-07,NA,NA,0.547368421052632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.549450549450549,NA,NA,0.436781609195402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.505263157894737
2020-03-03,NA,NA,0.532608695652174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-09,NA,NA,NA,0.709302325581395,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.462365591397849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.611764705882353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-12,NA,NA,NA,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.510869565217391,NA,NA,NA,NA
2020-07-24,NA,NA,NA,0.705263157894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526881720430108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.688888888888889,0.577777777777778
2020-05-21,NA,NA,NA,0.633333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.627659574468085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-18,NA,NA,NA,0.659090909090909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-02,NA,NA,NA,NA,0.611111111111111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04-18,NA,NA,NA,NA,0.602272727272727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.470588235294118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-09-11,NA,NA,NA,NA,NA,0.510416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.507894736842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.553191489361702
2020-09-07,NA,NA,NA,NA,NA,0.515463917525773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.537634408602151
2020-09-03,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54639175257732,NA,NA,NA,NA,NA,NA,0.531914893617021
2020-08-23,NA,NA,NA,NA,NA,0.537634408602151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-16,NA,NA,NA,NA,NA,0.544444444444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.488888888888889,NA,NA,NA,NA,NA,NA,NA,NA,0.539325842696629,NA,NA,NA,NA,NA,NA,NA
2020-07-13,NA,NA,NA,NA,NA,0.541999113475177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-14,NA,NA,NA,NA,NA,0.523255813953488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.585106382978723
2020-06-10,NA,NA,NA,NA,NA,0.56043956043956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.573033707865168,NA,0.457446808510638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-24,NA,NA,NA,NA,NA,0.516483516483517,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
