state,party,spend,impression,count,Party,Total Impression,Total Count,Total Spend,Impression/Count,Impression/Spend
Alabama,DEM,44933.001,2089049.78,10781,Dem,1913093542.847,635795,47132386.473,3008.9785903428,40.5897873205068
Alaska,DEM,17848.225,796830.4,9044,GOP,1576638124.671,1250367,57568995.237,1260.94028766834,27.3869314234215
Arizona,DEM,3336499.609,137964385.024,20210,,,,,,
Arkansas,DEM,33674.543,1545057.152,10029,,,,,,
California,DEM,981580.94,43063797.848,13002,,,,,,
Colorado,DEM,625578.669,29292048.153,12872,,,,,,
Connecticut,DEM,93489.376,3989873.757,11161,,,,,,
Delaware,DEM,25001.794,996662.598,9618,,,,,,
Florida,DEM,7849051.711,313736412.349,25345,,,,,,
Georgia,DEM,2555002.853,120024063.948,17657,,,,,,
Hawaii,DEM,27783.656,1217657.061,9687,,,,,,
Idaho,DEM,26744.037,1174841.972,9582,,,,,,
Illinois,DEM,267596.529,11825063.325,12212,,,,,,
Indiana,DEM,101982.708,4586179.26,11442,,,,,,
Iowa,DEM,758343.389,36533509.098,12992,,,,,,
Kansas,DEM,47476.145,2110494.814,10439,,,,,,
Kentucky,DEM,60578.025,2767198.971,10574,,,,,,
Louisiana,DEM,42171.322,1958930.913,10291,,,,,,
Maine,DEM,40612.204,1744044.519,10090,,,,,,
Maryland,DEM,157025.8,6727135.721,11992,,,,,,
Massachusetts,DEM,240537.764,10396869.49,11830,,,,,,
Michigan,DEM,5846089.243,232284652.448,25231,,,,,,
Minnesota,DEM,1406895.203,64312258.939,16679,,,,,,
Mississippi,DEM,18937.515,949428.527,9041,,,,,,
Missouri,DEM,100226.414,4439256.692,11268,,,,,,
Montana,DEM,18528.355,805736.996,8901,,,,,,
Nebraska,DEM,420288.388,16524444.864,11327,,,,,,
Nevada,DEM,1578678.996,65310550.714,15048,,,,,,
New Hampshire,DEM,251756.792,8674898.206,11208,,,,,,
New Jersey,DEM,184114.871,7778286.828,12192,,,,,,
New Mexico,DEM,51650.51,2225777.237,11322,,,,,,
New York,DEM,524780.179,22383503.339,12691,,,,,,
North Carolina,DEM,4011233.985,182789295.893,18879,,,,,,
North Dakota,DEM,12158.876,538698.978,8387,,,,,,
Ohio,DEM,501481.339,25313822.997,12851,,,,,,
Oklahoma,DEM,44616.823,2024815.487,10412,,,,,,
Oregon,DEM,144432.561,6226612.319,11416,,,,,,
Pennsylvania,DEM,8752803.972,303503506.419,27976,,,,,,
Rhode Island,DEM,29269.106,1265928.789,9764,,,,,,
South Carolina,DEM,57575.845,2493136.801,11101,,,,,,
South Dakota,DEM,14278.88,639725.834,8638,,,,,,
Tennessee,DEM,93790.186,4213211.831,11267,,,,,,
Texas,DEM,857194.256,41971276.709,13355,,,,,,
Utah,DEM,48304.682,2182958.284,10867,,,,,,
Vermont,DEM,26210.656,1132121.399,9450,,,,,,
Virginia,DEM,513404.924,23996409.349,13520,,,,,,
Washington,DEM,247211.725,10710293.275,11850,,,,,,
West Virginia,DEM,22831.631,1020082.314,9598,,,,,,
Wisconsin,DEM,4012282.159,142505151.542,23007,,,,,,
Wyoming,DEM,7846.101,337593.684,7699,,,,,,
Alabama,GOP,260702.712,9698079.985,22085,,,,,,
Alaska,GOP,41699.273,1627054.11,13861,,,,,,
Arizona,GOP,5403378.954,126947939.688,43768,,,,,,
Arkansas,GOP,121207.858,4595049.202,18284,,,,,,
California,GOP,1161198.838,37943655.087,30427,,,,,,
Colorado,GOP,250971.827,10818434.725,19375,,,,,,
Connecticut,GOP,97149.621,3499828.871,16575,,,,,,
Delaware,GOP,36363.14,1250512.633,13895,,,,,,
Florida,GOP,9954587.593,278156604.529,52986,,,,,,
Georgia,GOP,4207243.983,118357282.636,44153,,,,,,
Hawaii,GOP,34206.785,1135965.124,12770,,,,,,
Idaho,GOP,91628.143,3645938.302,16709,,,,,,
Illinois,GOP,369034.039,13405534.681,22558,,,,,,
Indiana,GOP,273633.48,10239152.434,21968,,,,,,
Iowa,GOP,2375509.892,56212655.892,38585,,,,,,
Kansas,GOP,124417.376,4792841.568,17842,,,,,,
Kentucky,GOP,182754.808,6876796.406,19879,,,,,,
Louisiana,GOP,192772.585,7699637.105,19313,,,,,,
Maine,GOP,753500.212,15089110.933,30131,,,,,,
Maryland,GOP,153840.347,5384029.336,19171,,,,,,
Massachusetts,GOP,166436.346,5296779.835,18585,,,,,,
Michigan,GOP,4860812.488,138308400.978,52212,,,,,,
Minnesota,GOP,680923.794,19799206.929,35254,,,,,,
Mississippi,GOP,127089.293,4796571.814,18510,,,,,,
Missouri,GOP,294722.603,10092459.128,21451,,,,,,
Montana,GOP,55687.15,2153096.996,14818,,,,,,
Nebraska,GOP,287512.49,7600869.5,28940,,,,,,
Nevada,GOP,1411447.258,25717049.542,36464,,,,,,
New Hampshire,GOP,88601.397,2468852.458,15500,,,,,,
New Jersey,GOP,261108.873,9094441.232,19776,,,,,,
New Mexico,GOP,77224.646,2638557.907,16224,,,,,,
New York,GOP,512379.095,17931367.385,23962,,,,,,
North Carolina,GOP,5551443.547,133159075.762,53610,,,,,,
North Dakota,GOP,39857.406,1610231.512,14643,,,,,,
Ohio,GOP,3585179.087,102277144.685,54184,,,,,,
Oklahoma,GOP,188950.521,7000350.941,20183,,,,,,
Oregon,GOP,133524.881,4939632.729,17376,,,,,,
Pennsylvania,GOP,6009082.921,159145830.353,47883,,,,,,
Rhode Island,GOP,25166.248,860662.658,12518,,,,,,
South Carolina,GOP,205435.981,7300405.858,21257,,,,,,
South Dakota,GOP,40418.25,1606549.631,14225,,,,,,
Tennessee,GOP,323534.537,12233282.149,22663,,,,,,
Texas,GOP,1649656.191,53606481.694,29058,,,,,,
Utah,GOP,110380.207,4442538.853,16992,,,,,,
Vermont,GOP,12673.537,494115.116,10679,,,,,,
Virginia,GOP,338460.683,11909511.386,22232,,,,,,
Washington,GOP,236275.428,8370637.782,19535,,,,,,
West Virginia,GOP,76811.946,2740492.579,18123,,,,,,
Wisconsin,GOP,4097112.178,100273671.183,45390,,,,,,
Wyoming,GOP,35284.789,1393752.849,13785,,,,,,
